year,month,zipcode,median_value,total_listed
2018,03,85087,401495,98
2018,02,85003,445050,91
2018,02,85004,302050,74
2018,02,85006,301300,73
2018,02,85007,352050,57
2018,02,85008,239950,105
2018,02,85009,145050,44
2018,02,85012,472625,66
2018,02,85013,329175,117
2018,02,85014,326050,119
2018,02,85015,239050,102
2018,02,85016,463e3,346
2018,02,85017,170050,42
2018,02,85018,870800,384
2018,02,85019,173250,39
2018,02,85020,346125,174
2018,02,85021,406537.5,134
2018,02,85022,333988,161
2018,02,85023,266425,102
2018,02,85024,310050,87
2018,02,85027,228272,83
2018,02,85028,417500,105
2018,02,85029,209938.25,98
2018,02,85031,165050,46
2018,02,85032,268700,182
2018,02,85033,172450,77
2018,02,85035,173825,51
2018,02,85037,197549.75,93
2018,02,85040,182115.75,65
2018,02,85041,229050,126
2018,02,85042,265800,139
2018,02,85043,210950,82
2018,02,85044,323724.75,153
2018,02,85045,387500,47
2018,02,85048,406675,155
2018,02,85050,401e3,145
2018,02,85051,213587.5,100
2018,02,85053,225650,70
2018,02,85054,338676.25,62
2018,02,85083,418550,104
2018,02,85085,417950,163
2018,02,85086,408050,334
2018,02,85087,424975,91
2018,01,85003,443800,63
2018,01,85004,307050,62
2018,01,85006,321775,65
2018,01,85007,367050,56
2018,01,85008,237500,102
2018,01,85009,148950,54
2018,01,85012,460450,66
2018,01,85013,320650,103
2018,01,85014,348050,99
2018,01,85015,227500,110
2018,01,85016,484175,324
2018,01,85017,170950,42
2018,01,85018,850045,361
2018,01,85019,176050,45
2018,01,85020,316275,170
2018,01,85021,38e4,124
2018,01,85022,333525,160
2018,01,85023,258975,83
2018,01,85024,294975,89
2018,01,85027,227974.75,88
2018,01,85028,402299.75,98
2018,01,85029,211149.75,111
2018,01,85031,166650,49
2018,01,85032,262300,195
2018,01,85033,166050,79
2018,01,85035,174275,48
2018,01,85037,194775,79
2018,01,85040,179225,63
2018,01,85041,225024.25,123
2018,01,85042,262500,139
2018,01,85043,205e3,75
2018,01,85044,320950,131
2018,01,85045,388725,45
2018,01,85048,378900,151
2018,01,85050,366799.75,158
2018,01,85051,21e4,100
2018,01,85053,224274.25,76
2018,01,85054,344902.25,61
2018,01,85083,393722.5,98
2018,01,85085,418750,147
2018,01,85086,399050,303
2018,01,85087,425050,82
2017,12,85003,449050,56
2017,12,85004,305050,64
2017,12,85006,307050,62
2017,12,85007,374950,61
2017,12,85008,24e4,95
2017,12,85009,149450,54
2017,12,85012,464e3,70
2017,12,85013,319050,101
2017,12,85014,342500,107
2017,12,85015,229150,115
2017,12,85016,450050,315
2017,12,85017,169850,40
2017,12,85018,820050,372
2017,12,85019,175050,39
2017,12,85020,319950,182
2017,12,85021,380050,109
2017,12,85022,319050,160
2017,12,85023,255050,88
2017,12,85024,299050,96
2017,12,85027,219950,89
2017,12,85028,399050,99
2017,12,85029,209950,121
2017,12,85031,165050,45
2017,12,85032,260049.5,221
2017,12,85033,168550,88
2017,12,85035,169950,59
2017,12,85037,195e3,83
2017,12,85040,176150,58
2017,12,85041,224050,142
2017,12,85042,254044,170
2017,12,85043,199500,74
2017,12,85044,321950,134
2017,12,85045,402500,49
2017,12,85048,375550,155
2017,12,85050,348045,152
2017,12,85051,199950,110
2017,12,85053,226500,80
2017,12,85054,365050,63
2017,12,85083,395050,89
2017,12,85085,407047.5,147
2017,12,85086,385050,283
2017,12,85087,409950,75
2017,11,85003,451750,66
2017,11,85004,305050,67
2017,11,85006,296797.5,59
2017,11,85007,372500,64
2017,11,85008,248550,104
